List Name,Card Name,Labels,Description
✅ Hecho,Backend base de microservicios operativo,Backend,"8 servicios (auth, productos, carrito, pedidos, pago, despacho, notificaciones, reportes) + Eureka + API Gateway."
✅ Hecho,Eliminar ms-certificacion,Backend,Servicio descartado por no aportar al negocio; referencias limpiadas.
✅ Hecho,Flujo pago → despacho → notificación (Feign),Backend,"Coreografía best-effort entre ms-pago, ms-despacho y ms-notificaciones."
✅ Hecho,Analítica de ventas en ms-reportes,Backend,Consume pedidos/pago por Feign; endpoints JSON + export Excel (POI).
✅ Hecho,Definir modelo de negocio: tienda única,Negocio,Decisión: un solo dueño vendedor (no marketplace).
✅ Hecho,Acta de Constitución,Negocio,"Documento aprobado (v2.1, hitos con fechas)."
✅ Hecho,Propuesta de Solución,Negocio,"Incluye despacho/courier, sitio web y agente WhatsApp."
✅ Hecho,Plan de Proyecto + Carta Gantt,Negocio,WBS 7 fases + cronograma con fechas.
✅ Hecho,Presupuesto detallado (con fuentes),Negocio,"Excel con fórmulas y hoja Fuentes (INAPI, NIC, Transbank, Meta, Anthropic, AWS)."
✅ Hecho,Plan de Marketing,Marketing,"Go-to-market: canales, embudo Meta Ads, KPIs."
✅ Hecho,Documentación organizada en Google Drive,Negocio,Carpeta 'Pyval — Documentación del Proyecto'.
🔨 En progreso,Cierre de la Fase 1 (Planificación),Negocio,Falta Plan de Riesgos y Plan de Pruebas.
🔨 En progreso,Commit del trabajo (código + docs) en Git,Backend,Pendiente: guardar todo en main. Establecer ramas main/develop/feature.
📋 Por hacer (próximo),Plan de Gestión de Riesgos,Negocio,Matriz probabilidad × impacto + planes de mitigación/contingencia.
📋 Por hacer (próximo),Plan de Pruebas,Pruebas,"Estrategia: unitarias, integración, e2e, conversacional, carga, seguridad, UAT."
📋 Por hacer (próximo),Iniciar trámites externos (temprano),Legal,"SII, verificación WhatsApp Business y constitución: arrancar en semana 1 para no bloquear el go-live."
📥 Backlog,Constituir empresa (SpA),Legal,Vía Empresa en un Día (registrodeempresasysociedades.cl).
📥 Backlog,Inicio de actividades en el SII,Legal,Habilitar emisión de boleta/factura electrónica.
📥 Backlog,Registrar marca en INAPI,Legal,1 clase = 3 UTM (~$212.000) + publicación Diario Oficial.
📥 Backlog,Redactar Términos y Condiciones,Legal,Contrato de uso del servicio (Ley del Consumidor 19.496).
📥 Backlog,Redactar Política de Privacidad,Legal,Cumplir Ley 19.628 y nueva Ley 21.719; consentimiento de cookies.
📥 Backlog,Crear y verificar cuenta WhatsApp Business,Legal,Número dedicado + verificación con Meta (WhatsApp Business Platform).
📥 Backlog,Contratar y configurar cloud,Infraestructura,Compute + BD administrada (AWS/GCP/Azure).
📥 Backlog,Registrar dominio .cl + SSL + correo,Infraestructura,NIC Chile (~$10.950/año) + certificado HTTPS.
📥 Backlog,Gestión de secretos,Infraestructura,Sacar credenciales del application.yml (root sin password) a un vault/secrets manager.
📥 Backlog,Ambientes dev / staging / producción,Infraestructura,Separar entornos.
📥 Backlog,Pipeline CI/CD,Infraestructura,GitHub Actions: build + test + deploy.
📥 Backlog,"Monitoreo, logs y respaldos",Infraestructura,Observabilidad + backups automáticos + plan de recuperación.
📥 Backlog,Endurecer seguridad de los microservicios,Backend,"Reactivar seguridad, auth entre servicios, HTTPS."
📥 Backlog,Integrar pasarela de pago real (Webpay/Flow),Backend,Reemplazar el pago simulado en ms-pago; PCI delegado al proveedor.
📥 Backlog,Integrar facturación electrónica (SII),Backend,Emitir boleta/factura por cada venta (o vía facturador).
📥 Backlog,Notificaciones reales (email/SMS),Backend,"SendGrid/SES + Twilio, en vez de solo notificaciones internas."
📥 Backlog,Diseñar UI del sitio (wireframes/mockups),Web,Identidad visual + prototipo de pantallas.
📥 Backlog,Storefront: portada + catálogo,Web,Listado con búsqueda y filtros.
📥 Backlog,Ficha de producto,Web,"Detalle, imágenes, stock, agregar al carrito."
📥 Backlog,Carrito de compras,Web,Gestión de ítems y totales (subtotal/IVA/total).
📥 Backlog,Checkout (con pago),Web,Datos de envío + pago real + confirmación.
📥 Backlog,Seguimiento de pedidos + cuenta de usuario,Web,"Historial, estado del despacho, login/registro."
📥 Backlog,Panel de administración (dueño),Web,"Productos, stock, precios, pedidos, despachos, reportes."
📥 Backlog,Responsivo + accesibilidad + SEO,Web,"Móvil/escritorio, buenas prácticas y posicionamiento."
📥 Backlog,Despacho con courier real,Integraciones,Crear envío vía API + webhook/polling + mapeo de estados (agregador tipo Shipit/Envíame).
📥 Backlog,Agente de atención WhatsApp con IA (ms-chatbot),Integraciones,LLM + RAG (FAQs) + tools a productos/pedidos + derivación a humano.
📥 Backlog,Notificar al cliente por WhatsApp,Integraciones,Avisos de estado del pedido/despacho por el canal oficial.
📥 Backlog,Pruebas de integración del flujo de compra (e2e),Pruebas,Catálogo → pago → despacho → notificación.
📥 Backlog,Pruebas del agente WhatsApp,Pruebas,Batería de mensajes reales + derivación a humano.
📥 Backlog,Pruebas de carga y seguridad,Pruebas,Rendimiento y hardening previo a producción.
📥 Backlog,UAT con el dueño,Pruebas,Aceptación de usuario antes del lanzamiento.
📥 Backlog,Desplegar en producción,Infraestructura,Go-live en cloud.
📥 Backlog,Carga inicial de catálogo,Negocio,"Cargar productos, precios y stock reales."
📥 Backlog,Lanzar campañas de marketing,Marketing,Meta Ads + Google; según Plan de Marketing.
📥 Backlog,Monitoreo post-lanzamiento,Infraestructura,Estabilización y ajustes.
🧊 En espera (externos),Aprobación de marca INAPI,Legal,Tras solicitar: tramitación puede tardar semanas.
🧊 En espera (externos),Habilitación de facturación SII,Legal,Ida y vuelta con el SII (1–3 semanas).
🧊 En espera (externos),Verificación de WhatsApp Business,Integraciones,Verificación del negocio con Meta (días a 1–2 semanas).
💡 Ideas / Fase 2,Integración con Meta (Pixel + Instagram Shopping),Marketing,Medición de conversiones + catálogo en Instagram/Facebook.
💡 Ideas / Fase 2,App móvil nativa,Web,Fuera del alcance inicial (se prioriza web responsiva).
💡 Ideas / Fase 2,Fidelización / recomendaciones con IA,Negocio,"Programa de puntos, recomendador de productos."
📚 Referencias & Docs,Carpeta de documentación (Drive),Negocio,https://drive.google.com/drive/folders/1Qj3XSp9zvptYd1dByXGtrHJTZcCjtEIz
📚 Referencias & Docs,Repositorio del backend,Backend,peluqueria-backend (local/Git). Recordar publicar en GitHub.
📚 Referencias & Docs,Estimación de tiempos,Negocio,"MVP ~fines agosto 2026 · Lanzamiento completo ~mediados/fines octubre 2026 (solo, ritmo intermedio/full-time)."
